Feature_ID,VIP,Group_Contribution,mz,RT,Correlation_ID,Spectrum_ID,Compound_Name,Adduct,Putative_BA
24209,2.861,IHC,515.3172,3.889,182,CCMSLIB00010223461,"""Candidate Dihydroxylated bile acid (delta mass 122.0168; sirius atomic difference: 2C, 6H, 2N, 2O, 1S)""",M+H,NA
29881,2.857,AIR,279.2321,5.205,24,NA,NA,NA,NA
24474,2.854,IHC,522.2881,3.941,455,CCMSLIB00005435570,taurodeoxycholic acid,M+Na,NA
24528,2.843,IHC,500.3050,3.957,455,CCMSLIB00006114525,Taurodeoxycholic acid - 40.0 eV,M+H,NA
20388,2.835,IHC,516.3006,3.081,NA,CCMSLIB00010223327,"""Candidate Trihydroxylated bile acid (delta mass 107.0057; sirius atomic difference: 2C, 5H, 1N, 2O, 1S; buddy atomic difference: 11C, -3H, 3N, -4O; spectral library match to CCMSLIB00005465657, """"2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,NA
20550,2.832,IHC,533.3278,3.113,465,CCMSLIB00010222581,"""Candidate Trihydroxylated bile acid (delta mass 124.0331; sirius atomic difference: 8C, 6H; buddy atomic difference: 11C, 4N, -4O; spectral library match to CCMSLIB00006680127, TAUROCHOLIC ACID)""",M+H,Trihydroxylated bile acid_ncgc00385964-01!3-ethyl-6-hydroxy-3h-2-benzofuran-1-one [M-2H2O+H]+
30057,2.826,AIR,255.2321,5.155,824,CCMSLIB00003136507,Spectral Match to cis-9-Hexadecenoic acid from NIST14,M+H,NA
22345,2.820,IHC,516.3014,3.461,97,CCMSLIB00003136277,Spectral Match to Taurocholic acid from NIST14,M+H,NA
9301,2.802,AIR,262.1109,1.534,481,NA,NA,NA,NA
22429,2.800,IHC,533.3279,3.464,97,CCMSLIB00010222692,"""Candidate Trihydroxylated bile acid (delta mass 124.03; sirius atomic difference: 2C, 8H, 2N, 2O, 1S; buddy atomic difference: 11C, 4N, -4O; spectral library match to CCMSLIB00006680127, TAUROCHOLIC ACID)""",M+H,NA
29139,2.768,IHC,590.3227,5.018,145,NA,NA,NA,NA
29716,2.759,IHC,568.3403,5.017,145,CCMSLIB00006678145,Lyso PC (22:6),M+H,NA
24260,2.758,IHC,517.3318,3.894,334,CCMSLIB00010223265,"""Candidate Dihydroxylated bile acid (delta mass 124.0294; buddy atomic difference: 2C, 8H, 2N, 2O, 1S; spectral library match to CCMSLIB00006680044, TAUROURSODEOXYCHOLIC ACID)""",M+H,NA
