"Feature ID"	Log_Ratio_Classification
22345	Denominator
32780	Denominator
856	Denominator
22429	Denominator
32796	Denominator
29162	Denominator
19732	Denominator
32820	Denominator
24528	Denominator
28962	Denominator
33036	Denominator
21082	Denominator
32769	Denominator
32819	Denominator
32793	Denominator
20388	Denominator
30740	Denominator
34092	Denominator
32775	Denominator
1070	Denominator
33633	Denominator
1088	Denominator
33246	Denominator
31629	Denominator
32202	Denominator
23627	Denominator
27879	Denominator
25706	Denominator
30998	Denominator
34081	Denominator
29150	Denominator
25810	Denominator
24260	Denominator
20845	Denominator
28449	Denominator
30744	Denominator
2166	Denominator
20550	Denominator
29716	Denominator
28509	Denominator
33613	Denominator
22322	Denominator
676	Denominator
29459	Denominator
24699	Denominator
14355	Denominator
33463	Denominator
24545	Denominator
32534	Denominator
13658	Denominator
936	Denominator
27820	Denominator
27161	Denominator
1030	Denominator
1264	Denominator
20966	Denominator
26140	Denominator
25776	Denominator
18008	Denominator
32770	Denominator
26036	Denominator
5981	Denominator
12015	Denominator
10862	Denominator
36484	Denominator
26772	Denominator
25730	Denominator
29874	Denominator
27132	Denominator
33598	Denominator
16900	Denominator
15987	Denominator
32094	Denominator
33487	Denominator
32528	Denominator
25014	Denominator
24474	Denominator
15291	Denominator
16657	Denominator
32748	Denominator
33465	Denominator
31422	Denominator
26777	Denominator
12741	Denominator
22262	Denominator
27158	Denominator
24394	Denominator
24362	Denominator
27968	Denominator
23595	Denominator
27171	Denominator
29177	Denominator
6114	Denominator
29584	Denominator
32442	Denominator
24501	Denominator
32676	Denominator
20434	Denominator
33490	Denominator
28764	Denominator
27398	Denominator
25778	Denominator
29795	Denominator
13870	Denominator
25876	Denominator
27554	Denominator
29308	Denominator
5639	Denominator
34095	Denominator
27073	Denominator
14783	Denominator
31998	Denominator
1178	Denominator
13566	Denominator
25488	Denominator
1465	Denominator
1377	Denominator
34225	Denominator
26314	Denominator
9876	Denominator
10934	Denominator
28721	Denominator
24997	Denominator
23536	Denominator
32492	Denominator
33448	Denominator
32118	Denominator
32162	Denominator
16075	Denominator
27877	Denominator
34135	Denominator
5348	Denominator
14882	Denominator
23720	Denominator
16328	Denominator
11501	Denominator
15112	Denominator
20756	Denominator
28079	Denominator
6303	Denominator
23223	Denominator
16440	Denominator
33220	Denominator
16877	Denominator
8779	Denominator
32001	Denominator
5068	Denominator
25838	Denominator
37123	Denominator
20019	Denominator
5122	Denominator
12766	Denominator
6127	Denominator
8487	Denominator
30135	Denominator
27679	Denominator
32659	Denominator
28117	Denominator
7412	Denominator
29617	Denominator
11264	Denominator
10263	Denominator
4072	Denominator
31175	Denominator
16145	Denominator
27594	Denominator
17072	Denominator
27150	Denominator
27543	Denominator
26959	Denominator
10897	Denominator
14558	Denominator
29575	Denominator
31296	Denominator
33074	Denominator
1066	Denominator
7812	Denominator
5732	Denominator
25530	Denominator
26156	Denominator
28437	Denominator
28002	Denominator
26666	Denominator
13016	Denominator
18038	Denominator
28251	Denominator
24524	Denominator
16527	Denominator
8328	Denominator
29602	Denominator
2038	Denominator
7888	Denominator
20406	Denominator
20377	Denominator
16458	Denominator
32902	Denominator
6169	Denominator
33481	Denominator
32369	Denominator
32752	Denominator
13528	Denominator
16635	Denominator
32463	Denominator
32952	Denominator
32808	Denominator
21110	Denominator
32134	Denominator
4050	Denominator
3134	Denominator
32917	Denominator
28362	Denominator
27814	Denominator
29092	Denominator
2083	Denominator
23546	Denominator
25152	Denominator
2253	Denominator
23090	Denominator
22418	Denominator
26768	Denominator
32138	Denominator
23252	Denominator
36347	Denominator
16141	Denominator
28972	Denominator
10190	Denominator
11757	Denominator
12801	Denominator
21489	Denominator
22561	Denominator
29923	Denominator
24494	Denominator
33140	Denominator
26566	Denominator
13027	Denominator
20343	Denominator
32666	Denominator
33057	Denominator
25767	Denominator
31349	Denominator
36264	Denominator
13916	Denominator
11546	Denominator
26397	Denominator
7982	Denominator
8019	Denominator
25740	Denominator
29291	Denominator
23764	Denominator
14623	Denominator
13032	Denominator
9902	Denominator
18452	Denominator
10994	Denominator
10913	Denominator
14258	Denominator
22357	Denominator
22459	Denominator
28349	Denominator
23791	Denominator
12703	Denominator
32451	Denominator
25940	Denominator
9487	Denominator
31142	Denominator
1266	Denominator
24543	Denominator
20353	Denominator
16871	Denominator
1458	Denominator
15601	Denominator
22113	Denominator
28765	Denominator
28669	Denominator
22776	Denominator
36777	Denominator
32779	Denominator
35855	Denominator
21948	Denominator
29398	Denominator
26154	Denominator
28773	Denominator
26491	Denominator
24209	Denominator
27888	Denominator
26983	Denominator
11444	Denominator
23170	Denominator
18151	Denominator
25654	Denominator
28546	Denominator
4735	Denominator
10713	Denominator
13436	Denominator
28143	Denominator
22721	Denominator
34292	Denominator
28215	Denominator
30317	Denominator
31014	Denominator
10935	Denominator
33424	Denominator
9567	Denominator
20818	Denominator
4754	Denominator
13486	Denominator
18126	Denominator
34644	Denominator
4016	Denominator
16897	Denominator
32279	Denominator
32395	Denominator
22818	Denominator
26294	Denominator
14390	Denominator
29022	Denominator
25532	Denominator
