"Feature ID"	Log_Ratio_Classification
27413	Denominator
1489	Denominator
29679	Denominator
792	Denominator
13101	Denominator
1799	Denominator
1919	Denominator
27504	Denominator
23456	Denominator
29575	Denominator
27679	Denominator
27417	Denominator
7179	Denominator
29700	Denominator
27285	Denominator
3085	Denominator
29915	Denominator
26534	Denominator
7218	Denominator
2066	Denominator
29600	Denominator
29725	Denominator
14754	Denominator
29687	Denominator
25901	Denominator
27402	Denominator
13455	Denominator
12703	Denominator
32686	Denominator
20165	Denominator
1882	Denominator
27940	Denominator
14956	Denominator
30189	Denominator
25548	Denominator
15157	Denominator
23142	Denominator
25532	Denominator
2118	Denominator
8379	Denominator
24219	Denominator
23481	Denominator
27820	Denominator
26399	Denominator
10554	Denominator
10057	Denominator
5348	Denominator
20694	Denominator
20137	Denominator
2305	Denominator
15936	Denominator
9902	Denominator
31317	Denominator
1976	Denominator
28472	Denominator
23205	Denominator
31487	Denominator
30327	Denominator
23579	Denominator
2252	Denominator
31919	Denominator
26753	Denominator
30358	Denominator
14768	Denominator
28401	Denominator
2511	Denominator
14981	Denominator
22813	Denominator
20202	Denominator
30233	Denominator
19088	Denominator
26394	Denominator
33589	Denominator
6114	Denominator
26235	Denominator
26388	Denominator
15171	Denominator
3636	Denominator
25489	Denominator
3018	Denominator
23637	Numerator
26646	Numerator
29007	Numerator
16988	Numerator
17384	Numerator
22304	Numerator
22797	Numerator
23550	Numerator
19399	Numerator
27808	Numerator
33057	Numerator
27973	Numerator
28449	Numerator
34250	Numerator
28388	Numerator
1637	Numerator
28261	Numerator
19336	Numerator
25519	Numerator
25536	Numerator
31201	Numerator
20683	Numerator
36319	Numerator
22603	Numerator
21880	Numerator
29602	Numerator
26829	Numerator
36540	Numerator
19087	Numerator
24364	Numerator
29178	Numerator
28716	Numerator
23782	Numerator
29682	Numerator
18961	Numerator
24528	Numerator
31172	Numerator
22580	Numerator
30231	Numerator
24169	Numerator
29558	Numerator
26672	Numerator
29335	Numerator
1505	Numerator
32936	Numerator
29874	Numerator
32590	Numerator
32461	Numerator
36970	Numerator
37162	Numerator
29547	Numerator
37123	Numerator
24225	Numerator
32959	Numerator
30752	Numerator
31288	Numerator
28972	Numerator
22346	Numerator
22903	Numerator
30695	Numerator
37131	Numerator
29584	Numerator
28251	Numerator
2952	Numerator
28773	Numerator
31497	Numerator
35887	Numerator
28764	Numerator
30998	Numerator
28574	Numerator
30740	Numerator
26789	Numerator
36810	Numerator
30135	Numerator
21424	Numerator
27204	Numerator
31014	Numerator
30410	Numerator
37139	Numerator
36883	Numerator
